State,Year,Total_GWh,NonRenewable_GWh,Renewable_GWh,Renewable_Share (%)
NS,2010,67474.85,64451.71,3023.14,4.480395288
NS,2011,69741.83,67529.27,2212.56,3.172500636
NS,2012,64926.53,60904.28,4022.25,6.195079269
NS,2013,65646.59,61899.1,3747.49,5.708582883
NS,2014,60589.87,58241.11,2348.76,3.876489585
NS,2015,63187.08,58635.05,4552.03,7.204051841
NS,2016,65087.99,56888.38,8199.61,12.59773116
NS,2017,66773.83,60606.55,6167.28,9.236073474
NS,2018,67780.83,58730.2,9050.63,13.35278721
NS,2019,69442.68,58728.78,10713.9,15.428408
NS,2020,66561.65,53730.8,12830.85,19.27664053
NS,2021,66771.47,50312.6,16458.87,24.64955467
NS,2022,69253.72,48671.57,20582.15,29.71991974
NS,2023,68322.88,45017.22,23305.66,34.11106206
NS,2024,72855.93,47421.32,25434.61,34.91083018
NS,2025,55240.82,35236.44,20004.38,36.21303956
QL,2010,59061.87,59061.87,0,0
QL,2011,54965.95,54965.95,0,0
QL,2012,56273.59,56273.59,0,0
QL,2013,50834.32,50834.32,0,0
QL,2014,54979.25,54979.25,0,0
QL,2015,58728.92,57395.99,1332.93,2.269631384
QL,2016,61165.19,57933.1,3232.09,5.284198414
QL,2017,62473.22,59855.45,2617.77,4.190227429
QL,2018,62706.92,58863.9,3843.02,6.128542113
QL,2019,62959.51,56025.59,6933.92,11.01330045
QL,2020,62871.34,53811.22,9060.12,14.41057245
QL,2021,60967.03,50645.72,10321.31,16.92933049
QL,2022,60981.03,48709.5,12271.53,20.12352038
QL,2023,63841.68,47714.03,16127.65,25.26194486
QL,2024,65113.72,47730.63,17383.09,26.69650882
QL,2025,49682.3,35397.25,14285.05,28.75279526
SA,2010,13781.47,11302.37,2479.1,17.98864707
SA,2011,13124.73,9769.48,3355.25,25.56433542
SA,2012,13367.28,9702.68,3664.6,27.41470217
SA,2013,11657.93,7885.95,3771.98,32.35548678
SA,2014,11931.11,7853.32,4077.79,34.17779234
SA,2015,12061.22,7201,4860.22,40.29625527
SA,2016,11679.74,5857.93,5821.81,49.84537327
SA,2017,13157.85,7253.37,5904.48,44.87420057
SA,2018,13418.83,6357.12,7061.71,52.62537792
SA,2019,14842.32,7155.81,7686.51,51.78779328
SA,2020,13688.53,5374.47,8314.06,60.73742031
SA,2021,12838.81,4113.39,8725.42,67.96128302
SA,2022,13338.76,3559.15,9779.61,73.31723489
SA,2023,13088.51,2964.84,10123.67,77.34776533
SA,2024,13894.14,3136.72,10757.42,77.42415148
SA,2025,10803.1,2285.76,8517.34,78.84162879
TS,2010,10714.62,1361.55,9353.07,87.29259647
TS,2011,10546.25,1596.32,8949.93,84.86362451
TS,2012,11550.03,1596.05,9953.98,86.18142117
TS,2013,13423.55,949.27,12474.28,92.92832373
TS,2014,11487.8,756.12,10731.68,93.4180609
TS,2015,9490.39,11.36,9479.03,99.88029997
TS,2016,11054.38,818.87,10235.51,92.59234801
TS,2017,10326,1206.92,9119.08,88.3118342
TS,2018,11971.36,499.02,11472.34,95.8315513
TS,2019,10543.33,472.75,10070.58,95.51612252
TS,2020,10754.53,89.42,10665.11,99.16853642
TS,2021,11423.42,12.87,11410.55,99.88733672
TS,2022,10669.4,95.18,10574.22,99.1079161
TS,2023,10447.02,63.01,10384.01,99.3968615
TS,2024,9496.1,439.93,9056.17,95.36725603
TS,2025,6690.65,155.2,6535.45,97.68034496
VI,2010,56727.08,52065.26,4661.82,8.217979843
VI,2011,55781.06,52210.24,3570.82,6.401491833
VI,2012,53576.48,49525.98,4050.5,7.560220455
VI,2013,52924.72,47069.49,5855.23,11.06331786
VI,2014,53195.72,48766.84,4428.88,8.325632213
VI,2015,55217.1,48880.86,6336.24,11.47514085
VI,2016,55688.7,46617.18,9071.52,16.28969611
VI,2017,48906.74,41619.43,7287.31,14.90042068
VI,2018,47037.49,38100.77,8936.72,18.99914302
VI,2019,46431.05,36347.53,10083.52,21.71719141
VI,2020,48029.56,35701.67,12327.89,25.66729739
VI,2021,50360.18,34408.15,15952.03,31.67587963
VI,2022,52473.76,33896.36,18577.4,35.40321868
VI,2023,52201.61,32333.14,19868.47,38.06102915
VI,2024,53448.83,32777.57,20671.26,38.67485967
VI,2025,42504.05,24486.21,18017.84,42.39087805
WA,2013,657.39,582.46,74.93,11.39810463
WA,2014,17026.08,15318.61,1707.47,10.02855619
WA,2015,17364.19,15398.4,1965.79,11.3209427
WA,2016,18880.47,16460.41,2420.06,12.81779532
WA,2017,18908.37,16294.77,2613.6,13.82245006
WA,2018,18842.44,15840.36,3002.08,15.93254377
WA,2019,19426.91,15214.43,4212.48,21.68373663
WA,2020,19567.88,14494.37,5073.51,25.92774486
WA,2021,20363.52,13698.9,6664.62,32.72823166
WA,2022,20753.57,13434.25,7319.32,35.26776357
WA,2023,21560.47,13922.93,7637.54,35.42381033
WA,2024,21589.18,13070.72,8518.46,39.45707989
WA,2025,17023.21,10282.06,6741.15,39.59975821
